FIPS,jurisdiction_name,state_name_abbreviation,e2016_votediff,voters_removed_total,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote,total_registered_voters
53029,ISLAND COUNTY,WA,2495,9042,0,1,18465,20960,62638
36071,ORANGE COUNTY,NY,8367,9004,1,0,76645,68278,232263
27109,OLMSTED COUNTY,MN,600,8952,0,1,35668,36268,93811
34011,CUMBERLAND COUNTY,NJ,3318,8855,0,1,24453,27771,90049
30013,CASCADE COUNTY,MT,7457,8701,1,0,19632,12175,49406
51095,JAMES CITY COUNTY,VA,2201,8682,1,0,21306,19105,58093
10001,KENT COUNTY,DE,3640,8636,1,0,36991,33351,123722
17077,JACKSON COUNTY,IL,791,8288,0,1,10843,11634,39503
40031,COMANCHE COUNTY,OK,7720,8236,1,0,19183,11463,55036
17081,JEFFERSON COUNTY,IL,7270,8212,1,0,11695,4425,25933
17037,DE KALB COUNTY,IL,1375,8164,0,1,19091,20466,67251
17187,WARREN COUNTY,IL,1288,8140,1,0,4275,2987,11814
37191,WAYNE COUNTY,NC,5770,8074,1,0,27540,21770,75769
37155,ROBESON COUNTY,NC,1746,8073,1,0,20762,19016,77304
18083,KNOX COUNTY,IN,7305,8070,1,0,11077,3772,24254
42043,DAUPHIN COUNTY,PA,3843,7952,0,1,60863,64706,185853
51199,YORK COUNTY,VA,5838,7905,1,0,18837,12999,46212
36093,SCHENECTADY COUNTY,NY,4794,7824,0,1,28953,33747,101574
42077,LEHIGH COUNTY,PA,7634,7788,0,1,73690,81324,234026
17091,KANKAKEE COUNTY,IL,6158,7741,1,0,25129,18971,72057
13217,NEWTON COUNTY,GA,1030,7703,0,1,20913,21943,74679
30031,GALLATIN COUNTY,MT,444,7661,0,1,23802,24246,79576
53009,CLALLAM COUNTY,WA,1117,7655,1,0,18794,17677,57335
17099,LA SALLE COUNTY,IL,7146,7625,1,0,26689,19543,81001
53075,WHITMAN COUNTY,WA,743,7418,0,1,7403,8146,28150
37189,WATAUGA COUNTY,NC,441,7329,0,1,13697,14138,47638
45085,SUMTER COUNTY,SC,5302,7177,0,1,18745,24047,75135
49005,CACHE COUNTY,UT,4684,7170,1,0,21139,8563,65493
42027,CENTRE COUNTY,PA,1814,6841,0,1,35274,37088,111132
37127,NASH COUNTY,NC,84,6793,1,0,23319,23235,67256
26145,SAGINAW COUNTY,MI,1073,6737,1,0,45469,44396,148679
41017,DESCHUTES COUNTY,OR,3248,6614,1,0,45692,42444,135315
17161,ROCK ISLAND COUNTY,IL,5300,6595,0,1,26998,32298,100163
42095,NORTHAMPTON COUNTY,PA,5464,6509,1,0,71736,66272,209313
48021,BASTROP COUNTY,TX,5759,6389,1,0,16328,10569,47519
13285,TROUP COUNTY,GA,6037,6368,1,0,15750,9713,42040
51683,MANASSAS CITY,VA,2470,6368,0,1,5953,8423,22099
18143,SCOTT COUNTY,IN,3432,6300,1,0,6074,2642,16899
17181,UNION COUNTY,IL,3388,6284,1,0,5790,2402,13191
28087,LOWNDES COUNTY,MS,1452,6049,1,0,13271,11819,42866
12087,MONROE COUNTY,FL,2933,6034,1,0,21904,18971,62143
48409,SAN PATRICIO COUNTY,TX,5159,5919,1,0,13030,7871,41647
